DATE,datealt,factor1,factor2
1961-09-30,1961.75,-0.14578519124575762,0.05513000851178445
1961-12-31,1962.0,-1.9607653083133751,-1.192371856340207
1962-03-31,1962.25,3.4212242669201895,0.9892445318223808
1962-06-30,1962.5,-3.014461269551755,0.34648909644737247
1962-09-30,1962.75,1.4178899529125446,-0.7879456537828838
1962-12-31,1963.0,-0.5882045055710126,-0.6291724687897241
1963-03-31,1963.25,-1.7630017681729704,-0.3345981149689534
1963-06-30,1963.5,-2.0258472831887007,0.06608339593171023
1963-09-30,1963.75,-2.3717598602756733,0.2993984020749889
1963-12-31,1964.0,-2.4941881561694523,0.2982749865897174
1964-03-31,1964.25,-2.4318967110087355,0.0764376775436016
1964-06-30,1964.5,0.29939546690116997,-1.7984996647396678
1964-09-30,1964.75,-1.5826532146938679,-0.46114848707138556
1964-12-31,1965.0,-1.8393195633717079,-0.3282054066185499
1965-03-31,1965.25,-1.9096054769419055,-0.2507543152635597
1965-06-30,1965.5,-1.6363540724074583,-0.5899914482200115
1965-09-30,1965.75,-3.386055338676523,0.733572514047192
1965-12-31,1966.0,-5.596585024641402,2.1625447260262094
1966-03-31,1966.25,-1.7729663709671966,-0.7805403379908293
1966-06-30,1966.5,-4.108998073846009,0.8394954584941516
1966-09-30,1966.75,-3.8680527793266246,0.9307584116931059
1966-12-31,1967.0,1.6472093717278584,-2.91222508312572
1967-03-31,1967.25,1.6008794173294882,-2.9309631773066713
1967-06-30,1967.5,-7.692001718098597,3.355504988935626
1967-09-30,1967.75,-2.1925638706851323,-0.017878807589803165
1967-12-31,1968.0,-4.665938018953067,1.2623334972739315
1968-03-31,1968.25,-1.0314813102884048,-1.3607130183066214
1968-06-30,1968.5,-1.26003395229825,-1.1858133140024145
1968-09-30,1968.75,0.6029319586563638,-2.474076899292791
1968-12-31,1969.0,-7.733105858646602,3.302336652454172
1969-03-31,1969.25,-3.539923643646527,0.07965896345447673
1969-06-30,1969.5,-7.387808117236925,3.1465055270666213
1969-09-30,1969.75,-9.014864127149535,3.144832177910804
1969-12-31,1970.0,-4.05942224448795,0.41244089135625545
1970-03-31,1970.25,3.3441164084297172,-5.203670857856818
1970-06-30,1970.5,-5.398383363248008,0.968929190135003
1970-09-30,1970.75,2.8663632475347414,-4.356747169178384
1970-12-31,1971.0,5.948651896847695,-6.34907327826509
1971-03-31,1971.25,7.187541949959353,-6.887779804706848
1971-06-30,1971.5,-14.517675319576615,8.240782870432632
1971-09-30,1971.75,6.284951659774613,-6.266824005445902
1971-12-31,1972.0,4.487185893149748,-3.2142292894797793
1972-03-31,1972.25,-4.307745288804255,2.2156657949706844
1972-06-30,1972.5,1.5737887156479375,-0.285242377116622
1972-09-30,1972.75,-2.484304973017471,-0.4751842994955224
1972-12-31,1973.0,0.7185856158002155,1.4259624783736635
1973-03-31,1973.25,-6.893219997105287,2.141504872935195
1973-06-30,1973.5,-3.160338666678401,-0.5059694601465567
1973-09-30,1973.75,-1.4480086123620473,1.1024598258302138
1973-12-31,1974.0,-3.1511980127297883,-1.0485255570400187
1974-03-31,1974.25,-10.291772892006813,1.3080903617887745
1974-06-30,1974.5,-6.835248025058462,1.3641146173221943
1974-09-30,1974.75,-0.7423416581715606,-3.512445454850225
1974-12-31,1975.0,7.696138404600705,0.9308323262828917
1975-03-31,1975.25,-0.5541530261048485,-2.4085434868947546
1975-06-30,1975.5,-0.5569640661094589,1.9471461354754362
1975-09-30,1975.75,-7.838282769889415,-0.650362164117534
