KYTREASNOX,TIDXFAM,TTERMTYPE,TTERMLBL,MCALDT,TMEWRETD
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,12/30/1960,0.003483776
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,1/31/1961,0.001920979
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,2/28/1961,0.000790383
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,3/30/1961,0.002994218
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/28/1961,0.002247858
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/31/1961,0.002376438
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/30/1961,0.002324762
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/31/1961,0.002513235
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/31/1961,0.001477672
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/29/1961,0.0028526
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/31/1961,0.002322639
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/30/1961,0.001840175
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,12/29/1961,0.001870388
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,1/31/1962,0.003327798
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,2/28/1962,0.002603651
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,3/30/1962,0.002394448
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/30/1962,0.002565034
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/31/1962,0.00254851
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/29/1962,0.000993461
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/31/1962,0.002744783
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/31/1962,0.002801776
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/28/1962,0.002789864
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/31/1962,0.002759252
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/30/1962,0.001853236
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,12/31/1962,0.002445212
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,1/31/1963,0.002859643
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,2/28/1963,0.002750501
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,3/29/1963,0.001626318
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/30/1963,0.002804275
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/31/1963,0.002055306
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/28/1963,0.002422451
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/31/1963,0.003823676
